"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"18/01/2022";"0000";"22,0";"22,0";"21,3";"72,0";"77,0";"72,0";"16,7";"17,2";"16,6";"917,5";"917,5";"916,8";"0,8";"102,0";"3,9";"";"0,0"
"18/01/2022";"0100";"21,4";"22,2";"21,2";"76,0";"76,0";"71,0";"16,9";"17,0";"16,7";"918,0";"918,1";"917,5";"1,8";"111,0";"4,5";"";"0,0"
"18/01/2022";"0200";"21,0";"21,4";"20,9";"77,0";"78,0";"75,0";"16,8";"17,0";"16,7";"918,5";"918,6";"918,0";"1,2";"196,0";"4,1";"";"0,0"
"18/01/2022";"0300";"20,4";"21,0";"20,2";"81,0";"81,0";"77,0";"17,0";"17,0";"16,7";"918,3";"918,6";"918,2";"1,9";"87,0";"4,6";"";"0,0"
"18/01/2022";"0400";"20,6";"20,6";"20,3";"80,0";"82,0";"80,0";"17,1";"17,2";"16,9";"917,4";"918,3";"917,4";"1,7";"107,0";"4,3";"";"0,0"
"18/01/2022";"0500";"20,7";"20,7";"20,4";"80,0";"81,0";"80,0";"17,1";"17,2";"17,0";"917,1";"917,4";"917,0";"1,0";"100,0";"4,2";"";"0,0"
"18/01/2022";"0600";"20,0";"20,7";"20,0";"84,0";"84,0";"80,0";"17,2";"17,2";"16,9";"916,7";"917,1";"916,7";"0,4";"324,0";"2,6";"";"0,0"
"18/01/2022";"0700";"20,9";"20,9";"20,0";"80,0";"84,0";"80,0";"17,4";"17,4";"17,1";"916,7";"916,7";"916,5";"1,9";"73,0";"3,6";"";"0,0"
"18/01/2022";"0800";"19,3";"20,9";"19,3";"88,0";"88,0";"80,0";"17,3";"17,4";"17,0";"917,3";"917,3";"916,7";"0,3";"5,0";"4,6";"";"0,0"
"18/01/2022";"0900";"19,3";"19,4";"19,0";"89,0";"90,0";"88,0";"17,4";"17,5";"17,2";"917,6";"917,7";"917,3";"0,7";"96,0";"1,9";"";"0,0"
"18/01/2022";"1000";"21,5";"22,1";"19,1";"78,0";"89,0";"78,0";"17,5";"18,9";"17,3";"918,4";"918,4";"917,6";"0,3";"45,0";"1,9";"162,20";"0,0"
"18/01/2022";"1100";"22,4";"22,4";"21,1";"73,0";"82,0";"73,0";"17,4";"18,1";"17,2";"918,9";"918,9";"918,4";"1,1";"332,0";"2,9";"651,90";"0,0"
"18/01/2022";"1200";"24,9";"24,9";"22,4";"63,0";"74,0";"62,0";"17,2";"18,0";"16,7";"919,3";"919,3";"918,9";"0,5";"352,0";"2,5";"1180,50";"0,0"
"18/01/2022";"1300";"26,6";"26,7";"24,7";"57,0";"63,0";"54,0";"17,4";"18,0";"16,4";"919,6";"919,6";"919,3";"1,7";"103,0";"4,9";"2778,90";"0,0"
"18/01/2022";"1400";"27,4";"28,0";"26,4";"51,0";"58,0";"50,0";"16,6";"17,9";"16,0";"919,5";"919,6";"919,5";"2,0";"71,0";"5,2";"2873,70";"0,0"
