"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"18/01/2023";"0000";"24,3";"24,7";"24,3";"68,0";"68,0";"64,0";"17,9";"18,3";"17,4";"916,4";"916,4";"915,4";"0,0";"63,0";"1,0";"";"0,0"
"18/01/2023";"0100";"24,7";"25,4";"24,1";"66,0";"72,0";"64,0";"18,0";"19,0";"17,8";"917,3";"917,3";"916,4";"0,2";"78,0";"1,5";"";"0,0"
"18/01/2023";"0200";"24,3";"24,8";"23,9";"64,0";"70,0";"64,0";"17,2";"18,4";"17,2";"917,7";"917,8";"917,3";"0,9";"128,0";"6,3";"";"0,0"
"18/01/2023";"0300";"22,6";"24,3";"22,6";"77,0";"77,0";"63,0";"18,4";"18,6";"17,0";"917,3";"917,7";"917,3";"0,1";"248,0";"4,5";"";"0,0"
"18/01/2023";"0400";"23,1";"23,1";"22,2";"76,0";"80,0";"76,0";"18,8";"19,0";"18,4";"917,2";"917,4";"917,2";"1,2";"78,0";"2,0";"";"0,0"
"18/01/2023";"0500";"21,6";"23,5";"21,6";"79,0";"79,0";"66,0";"17,7";"18,7";"16,6";"917,2";"917,6";"917,1";"2,3";"52,0";"5,9";"";"0,0"
"18/01/2023";"0600";"21,0";"21,7";"21,0";"77,0";"79,0";"76,0";"16,8";"17,8";"16,8";"916,5";"917,2";"916,5";"2,4";"77,0";"5,7";"";"0,0"
"18/01/2023";"0700";"21,0";"21,2";"20,9";"76,0";"78,0";"75,0";"16,6";"17,0";"16,6";"916,3";"916,5";"916,3";"1,0";"81,0";"4,4";"";"0,0"
"18/01/2023";"0800";"20,6";"21,0";"20,3";"79,0";"82,0";"76,0";"16,8";"17,1";"16,6";"916,7";"916,7";"916,3";"0,7";"96,0";"2,1";"";"0,0"
"18/01/2023";"0900";"20,8";"20,8";"20,4";"76,0";"79,0";"76,0";"16,3";"16,8";"16,3";"917,5";"917,5";"916,7";"1,4";"99,0";"3,5";"";"0,0"
"18/01/2023";"1000";"21,6";"21,6";"20,8";"73,0";"77,0";"73,0";"16,6";"16,8";"16,4";"918,2";"918,2";"917,5";"1,5";"84,0";"4,2";"70,80";"0,0"
"18/01/2023";"1100";"22,5";"22,5";"21,6";"70,0";"73,0";"69,0";"16,8";"16,8";"16,1";"918,9";"918,9";"918,2";"2,4";"74,0";"5,2";"318,10";"0,0"
"18/01/2023";"1200";"25,2";"25,9";"22,5";"56,0";"70,0";"55,0";"16,0";"17,7";"16,0";"919,4";"919,4";"918,8";"3,2";"65,0";"7,6";"2177,80";"0,0"
"18/01/2023";"1300";"27,2";"27,2";"24,5";"55,0";"62,0";"55,0";"17,3";"18,1";"15,9";"919,7";"919,7";"919,4";"2,3";"47,0";"7,3";"2154,30";"0,0"
"18/01/2023";"1400";"27,0";"27,7";"26,5";"54,0";"58,0";"53,0";"16,8";"17,8";"16,7";"919,6";"919,7";"919,6";"2,2";"29,0";"7,0";"3164,40";"0,0"
"18/01/2023";"1500";"27,8";"28,2";"27,0";"49,0";"55,0";"48,0";"16,2";"17,8";"15,5";"919,2";"919,6";"919,1";"2,2";"354,0";"6,2";"2251,00";"0,0"
"18/01/2023";"1600";"29,7";"29,7";"27,4";"46,0";"52,0";"43,0";"16,8";"17,1";"14,5";"918,5";"919,2";"918,5";"1,7";"43,0";"6,4";"2914,30";"0,0"
"18/01/2023";"1700";"30,5";"30,5";"28,7";"38,0";"47,0";"37,0";"14,6";"16,7";"13,9";"917,6";"918,5";"917,6";"2,1";"27,0";"5,7";"3578,60";"0,0"
"18/01/2023";"1800";"30,4";"30,6";"28,9";"38,0";"42,0";"33,0";"14,4";"15,9";"12,3";"916,5";"917,6";"916,5";"2,0";"57,0";"6,5";"2524,30";"0,0"
"18/01/2023";"1900";"30,2";"30,8";"29,1";"36,0";"40,0";"35,0";"13,5";"15,3";"13,1";"915,5";"916,6";"915,5";"1,8";"68,0";"6,0";"2331,30";"0,0"
"18/01/2023";"2000";"30,2";"31,2";"29,5";"36,0";"40,0";"32,0";"13,6";"15,1";"12,5";"914,9";"915,5";"914,9";"1,8";"359,0";"5,5";"1963,90";"0,0"
"18/01/2023";"2100";"29,1";"31,0";"29,1";"40,0";"40,0";"35,0";"14,1";"14,9";"13,3";"915,0";"915,0";"914,8";"1,4";"81,0";"5,7";"882,60";"0,0"
"18/01/2023";"2200";"28,5";"29,1";"28,5";"43,0";"43,0";"40,0";"14,8";"14,8";"13,9";"915,5";"915,5";"914,9";"1,1";"20,0";"4,6";"74,00";"0,0"
"18/01/2023";"2300";"26,9";"28,5";"26,9";"52,0";"52,0";"43,0";"16,0";"16,0";"14,5";"915,8";"915,8";"915,4";"1,1";"205,0";"3,2";"";"0,0"
"19/01/2023";"0000";"25,2";"26,9";"25,2";"65,0";"65,0";"52,0";"18,0";"18,2";"16,1";"917,2";"917,2";"915,8";"1,6";"227,0";"4,0";"";"0,0"
"19/01/2023";"0100";"24,3";"25,1";"24,3";"68,0";"68,0";"65,0";"18,0";"18,4";"18,0";"917,8";"917,8";"917,3";"0,7";"215,0";"3,2";"";"0,0"
"19/01/2023";"0200";"24,3";"24,4";"24,3";"70,0";"70,0";"68,0";"18,5";"18,5";"18,1";"918,0";"918,2";"917,8";"1,1";"172,0";"2,8";"";"0,0"
"19/01/2023";"0300";"23,6";"24,3";"23,6";"72,0";"72,0";"68,0";"18,3";"18,6";"17,8";"918,2";"918,4";"918,0";"0,8";"235,0";"3,3";"";"0,0"
"19/01/2023";"0400";"23,2";"23,7";"23,2";"73,0";"73,0";"71,0";"18,0";"18,4";"18,0";"917,8";"918,3";"917,8";"1,4";"242,0";"2,5";"";"0,0"
"19/01/2023";"0500";"21,6";"23,2";"21,6";"77,0";"77,0";"72,0";"17,3";"18,0";"17,1";"917,3";"917,9";"917,3";"0,8";"191,0";"4,2";"";"0,0"
"19/01/2023";"0600";"20,8";"21,6";"20,8";"84,0";"84,0";"77,0";"18,0";"18,0";"17,3";"916,8";"917,4";"916,8";"0,7";"181,0";"3,7";"";"0,0"
"19/01/2023";"0700";"20,8";"20,9";"20,6";"83,0";"85,0";"83,0";"17,8";"18,1";"17,8";"916,6";"916,8";"916,4";"0,8";"220,0";"1,6";"";"0,0"
"19/01/2023";"0800";"20,4";"20,8";"20,3";"87,0";"87,0";"82,0";"18,1";"18,1";"17,7";"916,9";"916,9";"916,5";"0,5";"218,0";"2,0";"";"0,0"
"19/01/2023";"0900";"19,9";"20,4";"19,9";"83,0";"87,0";"83,0";"16,9";"18,0";"16,9";"917,7";"917,7";"916,9";"1,2";"175,0";"3,4";"";"0,0"
"19/01/2023";"1000";"20,5";"20,5";"19,9";"80,0";"83,0";"80,0";"17,0";"17,0";"16,5";"918,2";"918,2";"917,7";"2,0";"144,0";"5,5";"57,60";"0,0"
"19/01/2023";"1100";"23,3";"23,3";"20,5";"71,0";"80,0";"71,0";"17,7";"17,8";"17,0";"918,8";"918,8";"918,1";"1,1";"140,0";"5,5";"707,40";"0,0"
"19/01/2023";"1200";"24,4";"24,5";"22,6";"68,0";"73,0";"66,0";"18,0";"18,3";"17,1";"919,1";"919,2";"918,8";"3,0";"83,0";"5,6";"1709,10";"0,0"
"19/01/2023";"1300";"26,4";"26,6";"24,3";"59,0";"68,0";"58,0";"17,7";"18,4";"17,3";"919,0";"919,1";"919,0";"2,2";"66,0";"5,3";"2748,90";"0,0"
"19/01/2023";"1400";"28,5";"28,8";"25,9";"54,0";"60,0";"54,0";"18,2";"19,0";"17,1";"918,8";"919,0";"918,7";"1,2";"39,0";"5,3";"3168,40";"0,0"
"19/01/2023";"1500";"28,4";"29,5";"27,6";"48,0";"56,0";"44,0";"16,5";"18,5";"15,7";"918,0";"918,8";"918,0";"2,4";"284,0";"5,6";"2985,60";"0,0"
"19/01/2023";"1600";"28,4";"29,2";"28,0";"51,0";"54,0";"44,0";"17,5";"18,3";"15,7";"917,6";"918,2";"917,6";"3,1";"359,0";"6,9";"2333,20";"0,0"
"19/01/2023";"1700";"27,9";"29,1";"27,8";"50,0";"56,0";"47,0";"16,4";"19,2";"15,9";"917,1";"917,7";"917,1";"2,5";"23,0";"6,5";"2598,30";"0,0"
"19/01/2023";"1800";"26,6";"28,1";"26,6";"58,0";"58,0";"48,0";"17,6";"17,7";"16,0";"916,6";"917,2";"916,6";"2,4";"355,0";"6,4";"712,80";"0,0"
"19/01/2023";"1900";"27,0";"27,6";"26,6";"56,0";"59,0";"53,0";"17,4";"18,3";"17,1";"915,2";"916,6";"915,2";"2,1";"10,0";"7,0";"828,30";"0,0"
"19/01/2023";"2000";"27,0";"27,4";"26,7";"54,0";"60,0";"53,0";"16,8";"18,2";"16,5";"914,4";"915,3";"914,4";"0,8";"340,0";"5,8";"565,50";"0,0"
"19/01/2023";"2100";"25,0";"27,0";"25,0";"60,0";"60,0";"51,0";"16,6";"17,5";"16,0";"915,2";"915,2";"914,4";"1,8";"238,0";"4,7";"192,80";"0,0"
"19/01/2023";"2200";"23,3";"25,0";"23,1";"68,0";"69,0";"59,0";"17,0";"17,1";"16,1";"915,5";"915,5";"915,2";"0,4";"285,0";"5,9";"136,80";"0,0"
"19/01/2023";"2300";"24,0";"24,0";"23,2";"65,0";"68,0";"65,0";"17,0";"17,2";"17,0";"916,1";"916,1";"915,5";"1,0";"237,0";"2,2";"";"0,0"
"20/01/2023";"0000";"23,4";"24,0";"23,2";"69,0";"70,0";"65,0";"17,4";"17,4";"16,9";"916,8";"916,8";"916,1";"0,0";"113,0";"2,1";"";"0,0"
"20/01/2023";"0100";"24,4";"24,5";"23,3";"65,0";"70,0";"63,0";"17,4";"17,6";"17,1";"917,5";"917,5";"916,8";"0,5";"16,0";"2,0";"";"0,0"
"20/01/2023";"0200";"23,2";"24,4";"23,2";"71,0";"71,0";"65,0";"17,6";"17,6";"17,0";"917,4";"917,6";"917,4";"1,2";"70,0";"3,1";"";"0,0"
"20/01/2023";"0300";"22,7";"23,2";"22,7";"72,0";"74,0";"71,0";"17,5";"17,8";"17,4";"917,5";"917,7";"917,4";"1,3";"61,0";"2,8";"";"0,0"
"20/01/2023";"0400";"22,8";"23,0";"22,7";"71,0";"72,0";"70,0";"17,3";"17,5";"17,2";"916,9";"917,5";"916,9";"0,6";"47,0";"2,7";"";"0,0"
"20/01/2023";"0500";"21,3";"22,8";"21,3";"77,0";"77,0";"70,0";"17,1";"17,4";"16,9";"916,7";"916,9";"916,6";"1,5";"184,0";"5,5";"";"0,0"
"20/01/2023";"0600";"20,8";"21,3";"20,7";"79,0";"81,0";"77,0";"17,1";"17,5";"17,1";"916,0";"916,7";"916,0";"1,4";"143,0";"5,5";"";"0,0"
"20/01/2023";"0700";"21,0";"21,2";"20,7";"76,0";"80,0";"75,0";"16,6";"17,1";"16,5";"915,7";"916,0";"915,6";"1,5";"115,0";"4,6";"";"0,0"
"20/01/2023";"0800";"20,5";"21,2";"20,5";"78,0";"78,0";"73,0";"16,6";"16,6";"16,1";"915,8";"915,8";"915,3";"1,8";"95,0";"4,9";"";"0,0"
"20/01/2023";"0900";"20,3";"20,5";"20,2";"81,0";"81,0";"78,0";"16,9";"16,9";"16,6";"916,1";"916,2";"915,8";"2,0";"74,0";"4,5";"";"0,0"
