"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"18/07/2023";"0000";"23,3";"23,9";"23,2";"53,0";"55,0";"51,0";"13,0";"13,7";"13,0";"920,9";"920,9";"920,2";"0,8";"148,0";"3,9";"";"0,0"
"18/07/2023";"0100";"23,3";"24,0";"23,3";"52,0";"53,0";"49,0";"12,9";"13,0";"12,8";"921,2";"921,2";"920,8";"1,8";"136,0";"3,9";"";"0,0"
"18/07/2023";"0200";"22,2";"23,3";"22,1";"57,0";"57,0";"52,0";"13,3";"13,3";"12,9";"921,4";"921,4";"921,2";"0,4";"83,0";"3,9";"";"0,0"
"18/07/2023";"0300";"22,7";"23,4";"22,3";"55,0";"57,0";"53,0";"13,2";"13,5";"13,1";"921,1";"921,4";"921,1";"0,9";"109,0";"4,9";"";"0,0"
"18/07/2023";"0400";"21,7";"22,8";"21,7";"60,0";"60,0";"55,0";"13,5";"13,6";"13,1";"921,2";"921,2";"921,1";"0,4";"85,0";"3,0";"";"0,0"
"18/07/2023";"0500";"21,8";"22,7";"21,7";"58,0";"60,0";"54,0";"13,2";"13,5";"12,8";"920,8";"921,2";"920,8";"0,3";"74,0";"2,8";"";"0,0"
"18/07/2023";"0600";"22,1";"22,3";"21,8";"58,0";"59,0";"57,0";"13,3";"13,5";"13,2";"920,3";"920,8";"920,3";"0,4";"95,0";"2,7";"";"0,0"
"18/07/2023";"0700";"21,9";"22,5";"21,1";"58,0";"63,0";"55,0";"13,4";"13,8";"13,1";"920,1";"920,4";"920,1";"0,9";"71,0";"2,5";"";"0,0"
"18/07/2023";"0800";"21,7";"22,1";"21,7";"60,0";"60,0";"57,0";"13,6";"13,6";"13,3";"920,2";"920,3";"920,1";"1,9";"83,0";"3,6";"";"0,0"
"18/07/2023";"0900";"21,3";"21,7";"21,2";"62,0";"63,0";"60,0";"13,7";"13,8";"13,5";"920,8";"920,8";"920,2";"0,1";"90,0";"3,4";"";"0,0"
"18/07/2023";"1000";"21,4";"21,5";"21,2";"60,0";"62,0";"59,0";"13,3";"13,7";"13,2";"921,4";"921,4";"920,8";"1,2";"101,0";"3,3";"";"0,0"
"18/07/2023";"1100";"21,5";"21,7";"21,4";"62,0";"62,0";"58,0";"13,9";"13,9";"13,1";"922,1";"922,1";"921,4";"0,4";"348,0";"3,7";"40,90";"0,0"
"18/07/2023";"1200";"22,9";"22,9";"21,5";"56,0";"62,0";"55,0";"13,6";"13,9";"13,2";"923,2";"923,2";"922,1";"0,5";"80,0";"3,0";"250,50";"0,0"
"18/07/2023";"1300";"24,5";"25,4";"22,8";"48,0";"56,0";"45,0";"12,7";"13,8";"12,5";"923,9";"923,9";"923,2";"1,7";"56,0";"4,5";"729,60";"0,0"
"18/07/2023";"1400";"25,0";"25,9";"24,0";"48,0";"50,0";"45,0";"13,3";"13,4";"12,7";"924,1";"924,2";"923,9";"2,3";"360,0";"6,5";"1317,60";"0,0"
"18/07/2023";"1500";"25,2";"26,4";"24,9";"43,0";"49,0";"42,0";"11,8";"13,3";"11,8";"923,7";"924,2";"923,7";"2,9";"8,0";"6,8";"1696,10";"0,0"
"18/07/2023";"1600";"27,1";"27,3";"25,1";"38,0";"44,0";"37,0";"11,4";"12,5";"11,0";"922,8";"923,7";"922,8";"2,6";"27,0";"6,7";"1899,00";"0,0"
"18/07/2023";"1700";"28,0";"28,7";"27,1";"31,0";"39,0";"31,0";"9,5";"11,7";"9,3";"922,1";"922,8";"922,1";"1,7";"3,0";"5,8";"2396,20";"0,0"
"18/07/2023";"1800";"27,8";"28,7";"27,6";"32,0";"33,0";"30,0";"9,8";"10,4";"9,2";"921,6";"922,1";"921,6";"1,9";"17,0";"4,7";"1768,80";"0,0"
"18/07/2023";"1900";"28,0";"29,0";"27,5";"33,0";"34,0";"30,0";"10,1";"10,7";"9,1";"921,3";"921,7";"921,3";"1,5";"19,0";"5,2";"1646,70";"0,0"
"18/07/2023";"2000";"27,9";"28,8";"27,9";"32,0";"33,0";"31,0";"9,5";"10,4";"9,5";"921,4";"921,4";"921,3";"1,9";"16,0";"4,0";"984,40";"0,0"
"18/07/2023";"2100";"26,4";"28,1";"26,4";"36,0";"36,0";"31,0";"10,3";"10,3";"9,4";"922,0";"922,0";"921,4";"1,1";"79,0";"4,2";"295,30";"0,0"
"18/07/2023";"2200";"24,8";"26,4";"24,8";"43,0";"43,0";"36,0";"11,3";"11,3";"10,3";"922,3";"922,3";"922,0";"0,9";"80,0";"2,8";"";"0,0"
"18/07/2023";"2300";"23,8";"24,8";"23,8";"45,0";"46,0";"42,0";"11,2";"11,3";"10,9";"923,0";"923,0";"922,3";"0,4";"79,0";"2,3";"";"0,0"
"19/07/2023";"0000";"23,5";"24,1";"23,5";"48,0";"48,0";"44,0";"12,0";"12,0";"11,1";"923,3";"923,3";"923,0";"1,4";"79,0";"2,4";"";"0,0"
"19/07/2023";"0100";"23,0";"23,6";"23,0";"50,0";"50,0";"48,0";"12,1";"12,2";"12,0";"923,6";"923,6";"923,3";"1,2";"86,0";"3,7";"";"0,0"
"19/07/2023";"0200";"21,5";"23,0";"21,5";"55,0";"55,0";"50,0";"12,2";"12,2";"11,9";"923,8";"923,9";"923,6";"0,0";"356,0";"2,8";"";"0,0"
